Year,January,February,March,April,May,June,July,August,September,October,November,December
2006,0,0,0,0,0,0,0,88,0,103,0,170
2007,0,302,108,94,55,0,17,0,0,0,0,31
2008,0,0,79,0,0,0,0,0,0,0,0,0
2014,0,27,64,0,0,56,0,0,0,0,142,0
2015,0,109,87,38,0,123,48,0,0,0,16,0
2016,0,0,0,0,0,0,0,0,65,103,0,84
2017,0,0,72,54,39,168,0,0,0,97,0,0
2018,63,0,0,0,0,0,190,0,49,0,0,95
2019,0,0,0,0,140,476,130,0,0,0,0,0
